"id","name","status","user_id"
"2","Carrinhos de Hot Dog","0","1"
"3","Carros","0","1"
"4","Caçambas","1","1"
"5","Peças para Industria","1","1"
"6","Aluguel de equipamentos","1","1"
"7","incêndio","0","1"
"8","Locação de Caçambas","1","1"
"9","Calhas","Coifas e Rufos","2015-07-06 17:11:04"
"10","climatizadores","1","1"
"11","Transportadora","0","1"
"12","paletes","1","1"
"13","piso tátil","0","1"
"14","Peças Tratores","1","1"
"15","Aluguel de guindaste e munck","1","1"
"16","Calderaria de termoplasticos","1","1"
"17","fios e cabos elétricos","1","1"
"18","Perucas","1","1"
"19","piso vinílico","0","1"
"20","Portas de aço","1","1"
"21","Portões","0","1"
"22","pisos de concreto","1","1"
"23","Advogados","1","1"
"24","Aluguel de gruas","1","1"
"25","Aluguel de Impressoras","1","1"
"26","Aluguel de mini grua","1","1"
"27","Automação comercial","1","1"
"28","Automatizadores de portas e portões","1","1"
"29","Balanças","1","1"
"30","banheiros químicos","0","1"
"31","Catracas","1","1"
"32","Comércio de equipamentos para contrução civil","1","1"
"33","comércio de máquinas","1","1"
"34","Concreto","1","1"
"35","Cones de sinalização","1","1"
"36","Desentupidora","1","1"
"37","Estrutura metálica","0","1"
"38","Ferramentas","1","1"
"39","Fotografia","1","1"
"40","Geradores","1","1"
"41","Grafica","0","1"
"42","Individualização de Água","0","1"
"43","Janelas acústicas","1","1"
"44","leitores de códigos de barras","0","1"
"45","Lonas","1","1"
"46","Luminárias","0","1"
"47","Manutenção Predial","0","1"
"48","manutenção e venda de compressores","1","1"
"49","Móveis de aço","0","1"
"50","Paineis de led","1","1"
"51","parafusos e porcas","0","1"
"52","parto natural","1","1"
"53","Pier flutuante","1","1"
"54","Projetos culturais","1","1"
"55","Raspagem de piso de madeira","0","1"
"56","Terceirização de Serviços","1","1"
"57","traduções","0","1"
"58","Acessorios para polimento de vidro","1","1"
"59","comércio de máquinas operatrizes","1","1"
"60","para-raio","1","1"
"61","Transformadores","1","1"
"62","madeira plástica","1","1"
"63","Válvulas e conexões de metal","1","1"
"64","Automação industrial","1","1"
"65","Caldeiraria","0","1"
"66","Resistências elétricas","1","1"
"67","Tubos e chapas de aço","1","1"
"68","usinagem","0","1"
"69","pontes rolantes","1","1"
"70","cabos de aço e cordoalhas","1","1"
"71","Chapas Perfuradas","expandidas e grades","NULL"
"72","peças em borracha","1","1"
"73","Redutores e engrenagens","1","1"
"74","Tanques e vazos de pressão","1","1"
"75","Bombas e peças para bombas","1","1"
"76","Isolamento térmico para telhados","1","1"
"77","moinhos trituradores","1","1"
"78","Agitadores e misturadores","1","1"
"79","bombas de vácuo","1","1"
"80","Equipamentos para Galvanoplastia","1","1"
"81","Calibração de instrumentos","1","1"
"82","cofres","1","1"
"83","Controladores de Temperatura","1","1"
"84","controle remoto para máquinas pesadas","1","1"
"85","Molas","1","1"
"86","roletes para esteiras transportadoras","1","1"
"87","aquecedores industriais","0","1"
"88","artefatos em inox","1","1"
"89","bancos de carga","1","1"
"90","Barras de Aço","1","1"
"91","Empacotadoras","1","1"
"92","Equipamentos pneumáticos","1","1"
"93","Estamparia de metais","1","1"
"94","Exaustores centrífugos","1","1"
"95","Exaustores","0","1"
"96","Fabricante de Correias","1","1"
"97","facas industriais","1","1"
"98","Ferramentas para torno","1","1"
"99","Fusiveis","0","1"
"100","Maçaricos","0","1"
"101","Manutenção de bomba hidraulica","1","1"
"102","Máquinas para frigorifico","1","1"
